AREA_TITLE,OCC_TITLE,O_GROUP,A_MEDIAN,A_PCT10,A_PCT25,A_PCT75,A_PCT90,A_MEAN
Florida,"Ushers, Lobby Attendants, and Ticket Takers",detailed,29130,27610,28420,32720,35580,31150
Florida,Amusement and Recreation Attendants,detailed,30670,27390,28710,33820,38540,32300
Florida,Costume Attendants,detailed,40680,33980,36880,57380,65560,47990
Florida,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,35290,29550,30770,38060,45980,35990
Florida,"Entertainment Attendants and Related Workers, All Other",detailed,29480,27040,27220,31930,36250,31640
Florida,Embalmers,detailed,60170,32190,48520,61990,64470,55570
Florida,Crematory Operators,detailed,38710,36480,37360,43180,47480,42100
Florida,Funeral Attendants,detailed,30210,28860,29420,35520,40180,33680
Florida,"Morticians, Undertakers, and Funeral Arrangers",detailed,48510,30580,36220,63860,77770,53820
Florida,Barbers,detailed,49410,31000,34780,59240,79490,52980
Florida,"Hairdressers, Hairstylists, and Cosmetologists",detailed,29530,27450,28340,35090,58320,36210
Florida,"Makeup Artists, Theatrical and Performance",detailed,82400,32040,32910,150280,213850,101330
Florida,Manicurists and Pedicurists,detailed,37840,28730,29710,48260,59940,41060
Florida,Shampooers,detailed,28550,28350,28410,31270,34760,30140
Florida,Skincare Specialists,detailed,43880,27860,35600,62650,83990,51570
Florida,Baggage Porters and Bellhops,detailed,30890,27040,28880,37940,44220,34610
Florida,Concierges,detailed,35660,28360,32910,43070,50970,39320
Florida,Tour and Travel Guides,detailed,41600,30520,33510,52720,64340,44060
Florida,Childcare Workers,detailed,34210,27960,30290,37110,44730,35830
Florida,Exercise Trainers and Group Fitness Instructors,detailed,38800,27450,28970,52630,72870,44630
Florida,Recreation Workers,detailed,35490,29130,31680,39490,49130,37620
Florida,Residential Advisors,detailed,40660,31200,35530,47920,58780,43270
Florida,"Personal Care and Service Workers, All Other",detailed,35150,27480,28840,46740,56190,40080
Florida,Sales and Related Occupations,major,37310,28600,30690,58780,92830,52070
Florida,First-Line Supervisors of Retail Sales Workers,detailed,48410,34710,37800,62050,76200,52730
Florida,First-Line Supervisors of Non-Retail Sales Workers,detailed,81650,49080,61160,107130,140870,91280
Florida,Cashiers,detailed,30530,27690,28650,34840,37650,32170
Florida,Gambling Change Persons and Booth Cashiers,detailed,37770,27430,30280,45450,59500,40780
Florida,Counter and Rental Clerks,detailed,37870,28770,31390,46640,60810,42570
Florida,Parts Salespersons,detailed,37190,28720,29720,48420,61520,42000
Florida,Retail Salespersons,detailed,34010,28330,29460,37070,46130,36000
Florida,Advertising Sales Agents,detailed,58420,34680,45190,78080,128120,69560
Florida,Insurance Sales Agents,detailed,59790,37180,46010,79420,124830,73370
Florida,"Securities, Commodities, and Financial Services Sales Agents",detailed,62770,47750,50740,101100,160760,87300
Florida,Travel Agents,detailed,50060,35060,39260,63540,77970,54630
Florida,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,60660,35550,44050,84980,129730,73070
Florida,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,107700,47590,71670,160430,201150,117380
Florida,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,62490,36780,46810,91170,127960,75920
Florida,Demonstrators and Product Promoters,detailed,31300,29180,30720,43240,63190,39820
Florida,Models,detailed,45900,34190,37150,99320,99320,65990
Florida,Real Estate Brokers,detailed,66010,38320,48310,116100,162500,88370
Florida,Real Estate Sales Agents,detailed,49310,31190,39330,79990,153200,73600
Florida,Sales Engineers,detailed,125530,73210,91800,155290,206760,136800
Florida,Telemarketers,detailed,35570,27040,27660,36400,41910,34690
Florida,"Sales and Related Workers, All Other",detailed,40180,29720,32310,60570,89990,54500
Florida,Office and Administrative Support Occupations,major,45400,32570,37310,56160,70600,48660
Florida,First-Line Supervisors of Office and Administrative Support Workers,detailed,64360,43720,51930,80520,101670,70380
Florida,"Switchboard Operators, Including Answering Service",detailed,35410,29410,33370,37800,43360,37210
Florida,Telephone Operators,detailed,37180,36130,36410,37180,52680,40730
Florida,Bill and Account Collectors,detailed,46410,35560,39280,52380,61390,47920
Florida,Billing and Posting Clerks,detailed,46540,37340,40350,51670,61780,48230
Florida,"Bookkeeping, Accounting, and Auditing Clerks",detailed,49330,36680,42890,59960,72260,52590
Florida,Gambling Cage Workers,detailed,42900,30040,36010,48240,58140,42490
Florida,Payroll and Timekeeping Clerks,detailed,51910,35730,45000,63720,76710,55170
Florida,Procurement Clerks,detailed,48710,37990,43010,54950,62650,49960
Florida,Tellers,detailed,45580,36010,38810,47710,57130,45060
Florida,"Financial Clerks, All Other",detailed,51570,39930,47270,63380,79050,56890
Florida,Brokerage Clerks,detailed,63130,52030,59090,76020,95000,68210
Florida,Correspondence Clerks,detailed,*,*,*,*,*,*
